Epoch	Loss	Accuracy	Val Loss	Val Accuracy
1	3.3763	0.0326	3.3673	0.0344
2	3.3672	0.0334	3.3673	0.0345
3	3.3672	0.0327	3.3673	0.0345
4	3.3672	0.0325	3.3673	0.0345
5	3.3672	0.0325	3.3673	0.0345
6	3.3672	0.0331	3.3673	0.0345
7	3.3672	0.0330	3.3673	0.0344
8	3.3672	0.0325	3.3673	0.0345
9	3.3672	0.0326	3.3673	0.0345
10	3.3672	0.0330	3.3673	0.0345
11	3.3672	0.0321	3.3673	0.0345
12	3.3672	0.0316	3.3673	0.0345
13	3.3672	0.0321	3.3673	0.0344
14	3.3672	0.0315	3.3673	0.0344
15	3.3672	0.0309	3.3673	0.0344
16	3.3672	0.0324	3.3673	0.0345
17	3.3672	0.0327	3.3673	0.0345
18	3.3672	0.0325	3.3673	0.0345
19	3.3672	0.0323	3.3673	0.0345
20	3.3672	0.0324	3.3673	0.0345
21	3.3672	0.0337	3.3673	0.0345
22	3.3672	0.0333	3.3673	0.0345
23	3.3672	0.0317	3.3673	0.0345
24	3.3672	0.0327	3.3673	0.0345
25	3.3672	0.0324	3.3673	0.0344
26	3.3672	0.0325	3.3673	0.0345
27	3.3672	0.0332	3.3673	0.0345
28	3.3672	0.0322	3.3673	0.0345
29	3.3672	0.0336	3.3673	0.0345
30	3.3672	0.0322	3.3673	0.0345
31	3.3672	0.0311	3.3673	0.0344
32	3.3672	0.0329	3.3673	0.0344
33	3.3672	0.0327	3.3673	0.0345
34	3.3672	0.0329	3.3673	0.0345
35	3.3672	0.0324	3.3673	0.0345
36	3.3672	0.0318	3.3673	0.0345
37	3.3672	0.0321	3.3673	0.0344
38	3.3672	0.0333	3.3673	0.0345
39	3.3672	0.0333	3.3673	0.0344
40	3.3672	0.0328	3.3673	0.0345
41	3.3672	0.0313	3.3673	0.0345
42	3.3672	0.0330	3.3673	0.0345
43	3.3672	0.0321	3.3673	0.0345
44	3.3672	0.0329	3.3673	0.0344
45	3.3672	0.0324	3.3673	0.0345
46	3.3672	0.0330	3.3673	0.0345
47	3.3672	0.0327	3.3673	0.0345
48	3.3672	0.0323	3.3673	0.0345
49	3.3672	0.0320	3.3673	0.0345
50	3.3672	0.0322	3.3673	0.0344
