Epoch	Loss	Accuracy	Val Loss	Val Accuracy
1	3.3227	0.0460	3.3120	0.0399
2	3.3078	0.0486	3.2887	0.0399
3	3.2959	0.0490	3.2723	0.0398
4	3.2833	0.0477	3.2593	0.0394
5	3.2691	0.0504	3.2411	0.0401
6	3.2576	0.0501	3.2241	0.0311
7	3.2462	0.0506	3.2065	0.0308
8	3.2344	0.0547	3.1961	0.0582
9	3.2245	0.0555	3.1742	0.0375
10	3.2127	0.0574	3.1633	0.0613
11	3.2014	0.0583	3.1414	0.0602
12	3.1915	0.0581	3.1305	0.0739
13	3.1809	0.0575	3.1111	0.0768
14	3.1733	0.0581	3.0931	0.0927
15	3.1618	0.0618	3.0795	0.0953
16	3.1522	0.0634	3.0677	0.0906
17	3.1424	0.0655	3.0489	0.0910
18	3.1345	0.0655	3.0395	0.0920
19	3.1267	0.0643	3.0216	0.0923
20	3.1159	0.0630	3.0107	0.1008
21	3.1120	0.0620	3.0010	0.1243
22	3.0995	0.0678	2.9807	0.1316
23	3.0946	0.0724	2.9704	0.1366
24	3.0901	0.0709	2.9550	0.1347
25	3.0826	0.0681	2.9417	0.1389
26	3.0804	0.0720	2.9377	0.1443
27	3.0751	0.0759	2.9429	0.1544
28	3.0684	0.0770	2.9179	0.1548
29	3.0633	0.0764	2.9130	0.1510
30	3.0573	0.0766	2.8946	0.1499
31	3.0527	0.0767	2.8813	0.1477
32	3.0499	0.0746	2.8759	0.1477
33	3.0465	0.0747	2.8810	0.1457
34	3.0394	0.0765	2.8730	0.1523
35	3.0385	0.0767	2.8695	0.1499
36	3.0354	0.0769	2.8713	0.1501
37	3.0344	0.0773	2.8484	0.1459
38	3.0311	0.0772	2.8420	0.1477
39	3.0288	0.0759	2.8294	0.1452
40	3.0260	0.0755	2.8164	0.1418
41	3.0234	0.0761	2.8189	0.1477
42	3.0230	0.0743	2.8128	0.1488
43	3.0189	0.0758	2.8118	0.1513
44	3.0194	0.0734	2.8173	0.1534
45	3.0153	0.0746	2.8134	0.1498
46	3.0171	0.0759	2.8151	0.1519
47	3.0162	0.0753	2.8025	0.1493
48	3.0093	0.0776	2.7929	0.1500
49	3.0079	0.0761	2.7858	0.1464
50	3.0083	0.0770	2.7831	0.1478
